uuid,datum,srazka,pricina,alkohol,zavineni,nasledky,stav_vozovky,povetrnostni_podm,viditelnost,rozhled,misto_nehody,druh_komun,druh_vozidla,stav_ridic,ovlivneni_ridice,osoba,ozn_osoba,pohlavi,nasledek,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,cas,hodina,vek_skupina,nazev
e0e08aca-7b52-4998-847d-59146f55b54d,2014-08-03,jiný druh nehody,"jízda po nesprávné straně vozovky, vjetí do protisměru","Ano, obsah alkoholu v krvi od 0,8‰ do 1,0‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,0,430,4,19-24,Brno-Bosonohy
a9ae686a-bbb0-4a02-9952-4badb954107d,2010-01-21,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, znečistěný (písek, prach, listí, štěrk atd.)",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,1829,18,33-44,Brno-sever
a95b78eb-959d-4ef1-8fc7-44256fa1d4ae,2010-02-24,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,105,1720,17,45-60,Brno-Ivanovice
44e309e7-675a-4fbc-bcab-fb0e43e397ee,2010-03-30,srážka s jedoucím nekolejovým vozidlem,"jízda po nesprávné straně vozovky, vjetí do protisměru",Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,110,1420,14,71 a více,Brno-Královo Pole
86315357-cd85-43fe-8402-f9fe5f253e2e,2010-04-08,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,"Ano, obsah alkoholu v krvi do 0,24 ‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,150,2015,20,33-44,Brno-střed
b8c179a5-419a-42f9-89b8-5aa8a7754461,2010-04-26,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,230,1440,14,45-60,Brno-Komín
d7802b21-0ee2-42dd-a01e-349e00e82aaf,2010-04-27,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Nezjišťován,řidičem nemotorového vozidla,nehoda pouze s hmotnou škodou,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,"výjezd z parkoviště, lesní cesty apod. (pol.36=7,8)",komunikace sledovaná (ve vybraných městech),jízdní kolo,,,,,,,0,0,0,300,1410,14,,Brno-jih
7fb462d0-5d3d-48c4-99ed-3883d5ab4611,2010-04-28,srážka s jedoucím nekolejovým vozidlem,vozidlu přijíždějícímu zprava,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",chlapec (do 15 let),lehké zranění,0,0,1,10,1700,17,7-11,Brno-Nový Lískovec
76c51d0c-8698-46a8-831b-6a095667c8c7,2010-04-28,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,1810,18,24-32,Brno-střed
c4e2d8d2-b81b-4181-84b0-33de85e578c8,2010-04-28,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,0,2030,20,24-32,Brno-Žabovřesky
11f9ccd8-6311-439d-b7c0-4deab9ddf9dc,2010-04-29,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky STŮJ DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,1600,16,19-24,Brno-střed
f2f24813-f6c4-4257-81ac-aec491aece23,2010-04-30,srážka s domácím zvířetem,nezaviněná řidičem,Nezjišťován,"lesní zvěří, domácím zvířectvem",nehoda pouze s hmotnou škodou,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,bez zraněn,0,0,0,30,1505,15,33-44,Brno-Kníničky
398a0b40-50b2-41e6-8b53-e786156b6b3a,2010-05-13,havárie,nezvládnutí řízení vozidla,Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,déšť,"v noci - s veřejným osvětlením, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.)",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,0,2310,23,33-44,Brno-Komín
6a587099-d04f-4b9d-af99-49d13fa1ad3b,2010-05-07,"srážka s vozidlem zaparkovaným, odstaveným",jiný druh nesprávného způsobu jízdy,Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,50,1400,14,24-32,Brno-Žabovřesky
9e3d1f34-8d65-4072-8253-7fa45e2289c7,2010-05-18,srážka s jedoucím nekolejovým vozidlem,při přejíždění z jednoho jízdního pruhu do druhého,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,150,1420,14,45-60,Brno-Líšeň
55057f98-e5a3-48e8-9a5f-80ed48f1eae0,2010-05-21,srážka s jedoucím nekolejovým vozidlem,"při zařazování do proudu jedoucích vozidel ze stanice, místa zastavení nebo stání",Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,4,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,10,1710,17,45-60,Brno-Maloměřice a Obřany
6a01c59b-fac1-4ddc-8b6a-418dbb1f0a79,2010-05-22,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,1000,1303,13,45-60,Brno-střed
73a3c4ba-59cd-41aa-81d2-39097865be0e,2010-05-23,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,10,1020,10,19-24,Brno-Slatina
de3ceb41-fcfe-49d6-8c12-0f598e64249d,2010-05-25,srážka s jedoucím nekolejovým vozidlem,nesprávné otáčení nebo couvání,Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace účelová - polní a lesní cesty atd.,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,4,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,0,1740,17,33-44,Brno-jih
2c0476dc-ad03-4b4a-8341-6bbe3f5418d1,2010-05-25,srážka s jedoucím nekolejovým vozidlem,nesprávné otáčení nebo couvání,Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace účelová - polní a lesní cesty atd.,jízdní kolo,,,,,,,0,0,1,0,1740,17,,Brno-jih
038b52ec-1b4e-4f10-982b-316db5c23085,2010-05-28,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,60,1650,16,45-60,Brno-Žabovřesky
904513f8-c4b1-4cac-8f46-6edd34241661,2010-06-04,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,1430,14,45-60,Brno-střed
20bda842-60d5-4606-9e97-073248565493,2010-06-05,havárie,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,1720,17,45-60,Brno-Maloměřice a Obřany
574e049f-e114-4832-807c-d21a63efe7bc,2010-06-11,havárie,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)",Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,2325,23,61-70,Brno-Kníničky
75f6c169-092b-491a-9fa2-9c86fd17c84d,2010-06-13,srážka s jedoucím nekolejovým vozidlem,"jízda po nesprávné straně vozovky, vjetí do protisměru",Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,4,1900,1430,14,19-24,Brno-Líšeň
3abf71c5-22d9-4bf1-9ae5-59d1d6c9e2c3,2010-06-15,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda pouze s hmotnou škodou,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace místní,jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,bez zraněn,0,0,0,50,1840,18,45-60,Brno-sever
d14a5040-4bb5-4a3d-9064-8cf705e32f47,2010-06-17,srážka s jedoucím nekolejovým vozidlem,jiný druh nesprávného způsobu jízdy,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,110,1525,15,45-60,Brno-střed
aad81e75-cb0c-4d79-b91d-fcaf3dd7cf53,2010-06-30,jiný druh nehody,jiný druh nepřiměřené rychlosti,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,320,1750,17,45-60,Brno-Tuřany
5984acac-6291-49af-915f-b4f89147d366,2010-07-05,havárie,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)",Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,1100,11,33-44,Brno-Bystrc
15a44b71-67dd-410b-bc34-6c1f856d30db,2010-07-08,havárie,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,"komunikace účelová - ostatní (parkoviště, odpočívky apod.",jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,1210,12,71 a více,Brno-Líšeň
157d56dd-abfa-4032-831e-49427ad08fb9,2010-07-11,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,360,940,9,33-44,Brno-Královo Pole
d2016efd-2b2f-4c48-9753-2978c4ca9f51,2010-07-14,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky STŮJ DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,60,845,8,33-44,Brno-Bystrc
69a03dbd-5af2-4944-b6f4-1bfa25acc5b1,2010-07-20,srážka s jedoucím nekolejovým vozidlem,nesprávné otáčení nebo couvání,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,600,2025,20,33-44,Brno-jih
59c757ee-af43-45c6-84ed-77f9dac335a3,2010-07-22,jiný druh nehody,"při předjíždění došlo k ohrožení předjížděného řidiče vozidla (vynucované zařazení, předjížděný řidič musel prudce brzdit, měnit směr jízdy apod.)",Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,"výjezd z parkoviště, lesní cesty apod. (pol.36=7,8)",komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,815,8,33-44,Brno-střed
473b2bdf-3efc-45d3-90d0-b5f6b929979c,2010-07-23,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,Nezjišťován,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,1,0,1035,10,61-70,Brno-Bystrc
f9ea019c-c0a1-4280-b325-c2a02a28a9e2,2010-07-24,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,déšť,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,410,2220,22,33-44,Brno-střed
36643db5-b891-4877-8644-945691a630c3,2010-07-28,srážka s jedoucím nekolejovým vozidlem,proti příkazu dopravní značky DEJ PŘEDNOST,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,20,1455,14,33-44,Brno-sever
16f735ec-c8f7-4488-91b9-be84b21eefcd,2010-07-31,havárie,jiný druh nepřiměřené rychlosti,"Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,"komunikace účelová - ostatní (parkoviště, odpočívky apod.",jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,0,1935,19,24-32,Brno-Líšeň
f0000ff7-5337-41fd-bdea-58d1e1104bb8,2010-08-03,srážka s jedoucím nekolejovým vozidlem,jiný druh nesprávného způsobu jízdy,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",chlapec (do 15 let),lehké zranění,0,0,1,0,1710,17,7-11,Brno-sever
39eb707c-5c8c-400b-b751-63c7765b5ab6,2010-08-05,havárie,řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,0,1055,10,24-32,Brno-Maloměřice a Obřany
bbf5e280-46bf-44b5-afb8-4aba5e482696,2010-08-06,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, zhoršená viditelnost (svítání, soumrak)",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰",1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,220,2035,20,61-70,Brno-střed
01f5939c-f2e4-4d98-8724-5e85c810218e,2010-08-11,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,110,950,9,45-60,Brno-Židenice
ccf66d60-9929-447e-9317-d506cb006dca,2010-08-11,srážka s jedoucím nekolejovým vozidlem,"při předjíždění došlo k ohrožení předjížděného řidiče vozidla (vynucované zařazení, předjížděný řidič musel prudce brzdit, měnit směr jízdy apod.)",Nezjišťován,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,0,1230,12,16-18,Brno-střed
