X,Y,objectid,join_count,target_fid,id,d,e,datum,den,rok,mesic,srazka,pricina,alkohol,zavineni,nasledky,stav_vozovky,povetrnostni_podm,viditelnost,rozhled,misto_nehody,druh_komun,druh_vozidla,stav_ridic,ovlivneni_ridice,osoba,ozn_osoba,pohlavi,nasledek,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,cas,hodina,mesic_t,den_v_tydnu,vek_skupina,nazev,point_x,point_y,globalid
-598234.223299999,-1158408.6626,360,1,361,60206131680,-598234.224,-1158408.663,2013/08/27 00:00:00+00,2,2013,8,srážka s jedoucím nekolejovým vozidlem,vozidlu přijíždějícímu zprava,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.","ve dne, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, sněžení, déšť apod.)",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,20,1550,15,srpen,úterý,33-44,Brno-Královo Pole,16.60356828,49.21602665,{0E305A3E-5A84-47CA-AC08-567223511E74}
-598137.202300001,-1159798.0736,361,1,362,60206131690,-598137.203,-1159798.074,2013/08/29 00:00:00+00,4,2013,8,srážka s jedoucím nekolejovým vozidlem,řidič se plně nevěnoval řízení vozidla,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,parkoviště přiléhající ke komunikaci,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,60,800,8,srpen,čtvrtek,33-44,Brno-střed,16.60694211,49.20369851,{28B00779-135E-41CA-BE31-93C0896C55E3}
-599998.279300001,-1156460.4256,362,1,363,60206131714,-599998.28,-1156460.426,2013/09/03 00:00:00+00,2,2013,9,havárie,"nepřizpůsobení rychlosti dopravně technickému stavu vozovky (zatáčka, klesání, stoupání, šířka vozovky apod.)","Ano, obsah alkoholu v krvi 1,5‰ a více",řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace místní,jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,50,325,3,září,úterý,24-32,Brno-Medlánky,16.57660923,49.23173597,{91ED1C85-3206-4754-A76B-2E9FDFDA1A46}
-599269.553300001,-1155842.6926,363,1,364,60206131715,-599269.554,-1155842.693,2013/09/03 00:00:00+00,2,2013,9,jiný druh nehody,řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,250,940,9,září,úterý,33-44,Brno-Řečkovice a Mokrá Hora,16.58564354,49.23796502,{C8C3F6A0-A8F9-4D78-A97B-4D34C32F3829}
-597836.1723,-1157549.0247,364,1,365,60206131734,-597836.173,-1157549.025,2013/09/05 00:00:00+00,4,2013,9,havárie,řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,20,1500,15,září,čtvrtek,61-70,Brno-Královo Pole,16.60773271,49.22409691,{427C2D22-F917-4FFB-A238-B85769B9841E}
-594737.638300002,-1160990.4417,365,1,366,60206131782,-594737.639,-1160990.442,2013/09/11 00:00:00+00,3,2013,9,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,520,1555,15,září,středa,24-32,Brno-Židenice,16.65507822,49.19631355,{FB5AADF9-7074-444C-8376-DA673BE0E211}
-599976.822299998,-1158658.0666,366,1,367,60206131787,-599976.823,-1158658.067,2013/09/12 00:00:00+00,4,2013,9,srážka s jedoucím nekolejovým vozidlem,při otáčení nebo couvání,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",žena,lehké zranění,0,0,1,210,735,7,září,čtvrtek,19-24,Brno-Žabovřesky,16.58015586,49.21210974,{41FDB66F-1607-4A0A-81FE-8B32DFA8F1AF}
-599095.506299999,-1161810.4547,367,1,368,60206131821,-599095.507,-1161810.455,2013/09/16 00:00:00+00,1,2013,9,srážka s pevnou překážkou,řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,povrch mokrý,déšť,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,těžké zranění,0,1,0,0,610,6,září,pondělí,45-60,Brno-střed,16.59683859,49.18478033,{46D1DE63-3405-4491-9749-6A783C7FEECB}
-600178.774300002,-1162987.8056,368,1,369,60206131860,-600178.775,-1162987.806,2013/09/19 00:00:00+00,4,2013,9,srážka s jedoucím nekolejovým vozidlem,při odbočování vlevo,Ne,řidičem motorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),jízdní kolo,dobrý -žádné nepříznivé okolnosti nebyly zjiště,1,řidič,"s přilbou (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,480,1800,18,září,čtvrtek,61-70,Brno-Bohunice,16.58380498,49.17320548,{6F15A5A7-9E6B-4EB1-98C2-97320EADEBB6}
-596272.686299998,-1161515.6947,369,1,370,60206131861,-596272.687,-1161515.695,2013/09/19 00:00:00+00,4,2013,9,havárie,řidič se plně nevěnoval řízení vozidla,Ne,řidičem nemotorového vozidla,nehoda s následky na životě nebo zdraví,"povrch suchý, neznečistěný",neztížené,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),jízdní kolo,pod vlivem alkoholu obsah alkoholu v krvi 1 ‰ a víc,1,řidič,"bez přilby (pouze u motocyklistů, příp. cyklistů)",muž,lehké zranění,0,0,1,10,2030,20,září,čtvrtek,33-44,Brno-Černovice,16.63490776,49.1901407,{AF056B3A-8A0E-4511-AB75-7D42798FB57A}
